OBJECTID,LRSDate,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,AccumulatedRouteMile,AADT,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,DirectionOfTravel,Location,GlobalID,ReportingYear,x,y
4153,12/31/2022 8:00:00 AM,005P108802,005,P1,08802,0.31,7700,7.07,6.07,0.83,Northeast,P1 RAMP (SR 5 NB TO OLD HWY 99)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE,b16f6a9a-ab03-421b-a18b-06d9de71ebcc,2022,-13692956.1793984,5909827.52140342
4154,12/31/2022 8:00:00 AM,005S104747,005,S1,04747,0.11,2300,2.7,0.97,0,Southeast,S1 RAMP (HUNTINGTON AV TO SR 5 SB)  AFTER MILEPOST 0.00: LX04797-HUNTINGTON AVE INTERSECTION; BEGIN ROUTE,448b0852-4246-4c32-958e-f0b6b8cd7448,2022,-13679740.3591871,5821902.12838736
4155,12/31/2022 8:00:00 AM,012S520254,012,S5,20254,0.04,1100,,,,Northeast,S5 RAMP (N FIRST ST TO SR 12 WB)  AFTER MILEPOST 0.00: SR 82 S103107 INTERSECTION; BEGIN ROUTE,efc0321f-4adb-4833-a808-33647bb6595f,2022,-13415282.3830903,5881363.65682007
4156,12/31/2022 8:00:00 AM,005S110373,005,S1,10373,0.02,17000,,,,South,S1 RAMP (SR 101 EB TO SR 5 SB)  AFTER MILEPOST 0.00: SR 101 EB INTERSECTION; BEGIN ROUTE,b0a1717c-33ef-4e9e-996a-19c76e3459ba,2022,-13682250.2254374,5945664.55042164
4157,12/31/2022 8:00:00 AM,003S104642,003,S1,04642,0.11,4500,2.62,0.18,0,South,S1 RAMP (TRIGGER AVE TO SR 3 SB)  AFTER MILEPOST 0.01: TRIGGER AVE WYE CONNECTION,916d0717-1cac-4e5c-8635-cdfc299d2503,2022,-13657961.7196528,6053296.0289905
4158,12/31/2022 8:00:00 AM,082Q103673,082,Q1,03673,0.09,8500,,,,South,Q1 RAMP (VLLY MALL BV TO SR 82 EB)  AFTER MILEPOST 0.01: LX03629 WYE CONNECTION,4762162f-85d6-410d-afc4-b455f2f22d51,2022,-13410964.3086453,5870832.85326289
4159,12/31/2022 8:00:00 AM,005P116901,005,P1,16901,0.3,12000,,,,Northeast,P1 RAMP (SR 5 NB TO NE 45TH ST)  AFTER MILEPOST 0.17: P216901 OFF RAMP,6b93d8b3-fc53-4291-8fda-51d2b57e74ec,2022,-13616735.53431,6050524.38455959
4160,12/31/2022 8:00:00 AM,005Q116818,005,Q1,16818,0.02,15000,,,,West,Q1 RAMP (SR 520 WB TO SR 5 NB)  AFTER MILEPOST 0.00: SR 520 WB INTERSECTION; BEGIN ROUTE,93c675e4-30c2-400e-aeb5-ffe009de9472,2022,-13616251.103402,6047661.21902659
4161,12/31/2022 8:00:00 AM,014CD00701,014,CD,00701,0.3,25000,,,,West,COLLECTOR-DISTRIBUTOR  AFTER MILEPOST 0.00: SR 14 WB INTERSECTION; BEGIN ROUTE,d01364ed-f4a2-441d-b37d-331d123c5af6,2022,-13640998.7941596,5716630.67642444
4162,12/31/2022 8:00:00 AM,005S114648,005,S1,14648,0.07,5500,,,,South,S1 RAMP (S 272ND ST TO SR 5 SB)  AFTER MILEPOST 0.00: LX14681-S 272ND ST INTERSECTION; BEGIN ROUTE,8e051e49-ad22-4cf9-936c-d07f2f218af2,2022,-13614056.2599019,6000530.28052615
